Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,Temprature,Humidity,Temp_Cat,Humid_Cat
Hubei,Mainland China,2020-03-10T15:13:05,67760,3024,47743,30.9756,112.2707,12.5,86,1,1
,Italy,2020-03-10T17:53:02,10149,631,724,43.0,12.0,12.9,64,1,1
,Iran (Islamic Republic of),2020-03-10T19:13:20,8042,291,2731,32.0,53.0,11.9,9,0,0
,Republic of Korea,2020-03-10T19:13:20,7513,54,247,36.0,128.0,4.9,41,0,0
,France,2020-03-10T18:53:02,1784,33,12,47.0,2.0,11.9,93,0,0
,Spain,2020-03-10T23:53:02,1695,35,32,40.0,-4.0,22.3,36,1,1
,Germany,2020-03-10T18:53:02,1457,2,18,51.0,9.0,10.4,91,0,0
Guangdong,Mainland China,2020-03-10T09:13:07,1353,8,1274,23.3417,113.4244,20.9,79,1,1
Henan,Mainland China,2020-03-08T05:03:02,1272,22,1247,33.882,113.614,14.7,59,1,1
Zhejiang,Mainland China,2020-03-10T10:33:02,1215,1,1191,29.1832,120.0934,11.0,89,0,0
Hunan,Mainland China,2020-03-10T08:33:02,1018,4,990,27.6104,111.7088,12.0,97,0,0
Anhui,Mainland China,2020-03-08T05:13:06,990,6,984,31.8257,117.2264,13.2,70,1,1
Jiangxi,Mainland China,2020-03-10T01:33:02,935,1,927,27.614,115.7221,12.7,97,1,1
Shandong,Mainland China,2020-03-10T07:33:03,758,6,719,36.3427,118.1498,8.6,55,0,0
Diamond Princess cruise ship,Others,2020-03-06T01:29:39,696,6,40,35.4437,139.638,10.9,45,0,0
Jiangsu,Mainland China,2020-03-10T08:13:08,631,0,627,32.9711,119.455,11.3,79,0,0
,Japan,2020-03-10T16:13:16,581,10,101,36.0,138.0,2.6,53,0,0
Chongqing,Mainland China,2020-03-10T23:53:02,576,6,547,30.0572,107.874,13.2,80,1,1
Sichuan,Mainland China,2020-03-10T10:13:17,539,3,478,30.6171,102.7103,4.2,89,0,0
,Switzerland,2020-03-10T23:53:02,491,3,3,46.8182,8.2275,8.3,76,0,0
Heilongjiang,Mainland China,2020-03-10T00:13:18,481,13,434,47.862,127.7615,-10.1,90,0,0
Beijing,Mainland China,2020-03-10T01:13:07,429,8,320,40.1824,116.4142,8.4,22,0,0
,Norway,2020-03-10T23:53:02,400,0,1,60.472,8.4689,-2.1,78,0,0
,Netherlands,2020-03-10T13:53:06,382,4,0,52.1326,5.2913,11.9,79,0,0
,UK,2020-03-10T23:53:02,382,6,18,55.0,-3.0,6.4,79,0,0
,Sweden,2020-03-10T23:53:02,355,0,1,63.0,16.0,0.1,90,0,0
Shanghai,Mainland China,2020-03-10T06:13:14,344,3,319,31.202,121.4491,12.4,71,1,1
Hebei,Mainland China,2020-03-07T13:03:05,318,6,307,38.0428,114.5149,13.1,22,1,1
Fujian,Mainland China,2020-03-07T13:03:05,296,1,295,26.0789,117.9874,13.1,94,1,1
,Belgium,2020-03-10T11:53:03,267,0,1,50.8333,4.0,12.9,85,1,1
Washington,US,2020-03-10T22:13:11,267,23,1,47.4009,-121.4905,-0.5,95,0,0
,Denmark,2020-03-10T17:33:34,262,0,1,56.2639,9.5018,7.1,74,0,0
Guangxi,Mainland China,2020-03-10T00:53:02,252,2,234,23.8298,108.7881,21.6,82,1,1
Shaanxi,Mainland China,2020-03-10T08:53:02,245,1,227,35.1917,108.8701,6.9,30,0,0
,Austria,2020-03-10T16:13:16,182,0,4,47.5162,14.5501,6.5,84,0,0
Yunnan,Mainland China,2020-03-06T03:23:06,174,2,170,24.974,101.487,15.9,41,1,1
New York,US,2020-03-10T17:13:27,173,0,0,42.1657,-74.9481,1.9,71,0,0
Hainan,Mainland China,2020-03-08T04:33:02,168,6,159,19.1959,109.7453,24.5,79,1,1
,Singapore,2020-03-10T05:13:07,160,0,78,1.2833,103.8333,27.7,74,1,1
Guizhou,Mainland China,2020-03-10T01:13:07,146,2,129,26.8154,106.8748,12.3,89,1,1
California,US,2020-03-10T19:13:28,144,2,2,36.1162,-119.6816,15.5,82,1,1
Tianjin,Mainland China,2020-03-10T10:13:25,136,3,131,39.3054,117.323,9.5,35,0,0
Shanxi,Mainland China,2020-03-10T23:53:02,133,0,131,37.5777,112.2922,9.7,26,0,0
,Malaysia,2020-03-10T16:33:13,129,0,24,2.5,112.5,25.9,89,1,1
Gansu,Mainland China,2020-03-10T14:33:13,125,2,88,36.0611,103.8343,1.8,27,0,0
Liaoning,Mainland China,2020-03-10T04:13:09,125,1,111,41.2956,122.6085,2.7,42,0,0
Hong Kong,Hong Kong SAR,2020-03-10T23:53:02,120,3,65,22.3,114.2,19.6,91,1,1
,Bahrain,2020-03-10T18:53:02,110,0,22,26.0275,50.55,20.9,61,1,1
Jilin,Mainland China,2020-03-09T14:33:03,93,1,91,43.6661,126.1923,-2.0,46,0,0
