hours,age,internet,marks
6.83,15,1,78.5
6.56,16,0,76.74
,17,1,78.68
5.67,18,0,71.82
8.67,19,1,84.19
7.55,20,0,81.18
6.67,15,0,76.99
8.99,16,0,85.46
5.19,17,1,70.66
6.75,18,0,77.82
6.59,19,0,75.37
8.56,20,1,83.88
7.75,15,0,79.5
7.9,16,1,80.76
8.19,17,0,83.08
6.55,18,1,76.03
6.36,19,0,76.04
8.44,20,1,85.11
8.41,15,0,82.5
7.67,16,1,80.58
7.42,17,1,82.18
8.16,18,1,83.36
5.05,19,1,70.67
5.85,20,1,75.02
5.45,15,0,70.96
7.96,16,0,83.33
6.51,17,0,74.75
6.73,18,0,75.65
5.94,19,1,74.15
7.48,20,0,80.17
8.13,15,1,82.27
,16,1,76.14
5.4,17,1,71.1
8.78,18,0,84.35
8.72,19,1,83.08
7.1,20,0,76.76
7.86,15,1,81.24
7.19,16,0,78.21
5.62,17,1,73.08
7.88,18,0,83.23
5.28,19,1,70.27
8.92,20,1,86.41
5.46,15,0,71.1
8.3,16,1,82.84
8.09,17,0,82.38
6.18,18,1,72.96
7.01,19,1,77.46
5.01,20,0,70.11
5.54,15,1,72.38
5.09,16,1,71.41
5.09,17,0,72.22
7.31,18,1,77.77
8.71,19,0,84.44
5.52,20,1,71.45
8.76,15,0,82.21
8.69,16,1,85.48
5.75,17,1,75.03
8.93,18,1,86.65
5.39,19,1,70.9
5.65,20,0,71.7
5.49,15,1,73.61
7.26,16,1,79.41
6.35,17,0,76.19
7.72,18,1,80.43
8.88,19,0,85.78
5.45,20,1,70.06
7.86,15,1,81.25
8.26,16,0,81.7
5.07,17,1,69.27
8.25,18,0,82.79
5.37,19,1,71.8
5.11,20,1,71.79
6.35,15,0,74.97
7.41,16,1,78.61
7.31,17,0,77.59
6.04,18,1,72.33
5.11,19,1,72.08
6.56,20,0,77.33
5.09,15,1,70.05
5.88,16,0,73.34
8.34,17,1,84
7.94,18,0,82.93
6.66,19,1,76.63
6.01,20,1,75.36
6.88,15,0,77.29
5.63,16,1,72.87
5.88,17,0,73.4
8.05,18,1,81.74
5.33,19,0,71.85
8.79,20,0,84.6
7.52,15,1,79.56
8.2,16,0,82.1
5.44,17,1,72.08
7.9,18,0,79.1
7.69,19,1,81.01
6.09,20,0,76.48
,15,1,75.39
5.2,16,1,68.57
8.88,17,0,83.64
8.07,18,1,82.3
6.24,19,1,75.18
7.95,20,0,82.03
8.26,15,0,82.99
7.31,16,1,79.26
7.23,17,1,77.55
6.46,18,1,77.07
5.34,19,1,72.1
5.72,20,1,73.25
5.84,15,0,74.25
5.02,16,1,70.58
7.98,17,0,81.08
6.37,18,1,75.04
6.92,19,0,76.38
7.95,20,1,80.86
7.12,15,0,78.42
5.79,16,1,74.44
5.4,17,0,70.34
8.83,18,1,85.04
5.69,19,0,73.61
6.6,20,1,75.55
6.52,15,0,76.2
8.31,16,0,82.69
,17,1,76.83
7.62,18,0,79.53
8.69,19,1,83.57
8.75,20,0,85.95
6.46,15,1,76.02
7.14,16,1,77.65
6.38,17,0,77.01
6.33,18,1,74.49
5.64,19,0,73.19
5.26,20,1,71.86
6.83,15,1,75.8
5.76,16,0,72.46
6.51,17,1,78.39
8.33,18,0,83.48
8.16,19,1,83.15
5.14,20,0,71.22
8.71,15,0,85.98
8.6,16,1,83.91
8.6,17,0,84.58
7.43,18,1,80.31
7.81,19,1,82.55
6.51,20,0,75.52
8.11,15,1,83.82
8.95,16,0,85.15
7.99,17,1,82.75
5.92,18,0,74.34
8.3,19,1,82.02
8.97,20,0,86.12
5.39,15,0,71.87
6.77,16,0,76.7
8.08,17,1,81.7
5.24,18,0,70.78
6.93,19,1,78.45
5.14,20,0,70.2
8.39,15,1,83.37
6.18,16,0,75.52
7.53,17,1,81.57
7.86,18,0,80.72
7.7,19,1,80.81
7.3,20,0,79.49
7.79,15,1,79.17
6.75,16,0,77.07
7.87,17,1,82.04
5.38,18,0,71.94
7.8,19,1,81.6
5.07,20,0,70.79
7.95,15,1,82.68
8.35,16,0,83.08
5.19,17,0,71.18
7.19,18,0,77.63
7.35,19,1,77.78
5.22,20,1,70.4
5.39,15,1,73.02
5.39,16,1,71.11
8.93,17,1,85.96
5.79,18,0,73.64
8.42,19,1,84.24
7.26,20,0,78.17
6.97,15,1,77.19
5.55,16,1,71.83
8.66,17,0,86.99
8.61,18,1,83.87
5.22,19,1,71.5
8.05,20,0,79.63
8.87,15,1,85.1
5.54,16,0,72.01
,17,0,77.27
7.26,18,1,79.87
5.79,19,0,73.14
5.22,20,0,70.51
8.71,15,1,84.03
7.55,16,1,79.64
6.35,17,1,74.24
7.53,18,0,81.67
8.56,19,1,84.68
8.94,20,1,86.75
6.6,15,1,78.05
8.35,16,1,83.5
4.15,15,0,81.45
